url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://www.wikipedia.org/,interactive,a,"{'href': '//hy.wikipedia.org/', 'lang': 'hy', 'title': 'Hayeren'}",,False,"{'x': 430.3266906738281, 'y': 739.53125, 'width': 55.78125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(18) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//hi.wikipedia.org/', 'lang': 'hi', 'title': 'Hindī'}",,False,"{'x': 430.3266906738281, 'y': 763.3380126953125, 'width': 28.522735595703125, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(19) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//hr.wikipedia.org/', 'lang': 'hr'}",,False,"{'x': 430.3266906738281, 'y': 787.1448364257812, 'width': 49.67327880859375, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(20) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//id.wikipedia.org/', 'lang': 'id'}",,False,"{'x': 430.3266906738281, 'y': 810.95166015625, 'width': 106.88919067382812, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(21) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//he.wikipedia.org/', 'lang': 'he', 'title': 'Ivrit'}",,False,"{'x': 430.3266906738281, 'y': 834.7584838867188, 'width': 38.196014404296875, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(22) > a,,,,,False,False,0,1,li
https://www.wikipedia.org/,interactive,a,"{'href': '//ka.wikipedia.org/', 'lang': 'ka', 'title': 'Kartuli'}",,False,"{'x': 430.3266906738281, 'y': 858.5653076171875, 'width': 72.20169067382812, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(23) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//lld.wikipedia.org/', 'lang': 'lld'}",,False,"{'x': 430.3266906738281, 'y': 882.3721313476562, 'width': 33.28125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(24) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//la.wikipedia.org/', 'lang': 'la'}",,False,"{'x': 430.3266906738281, 'y': 906.178955078125, 'width': 36.903411865234375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(25) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//lv.wikipedia.org/', 'lang': 'lv'}",,False,"{'x': 430.3266906738281, 'y': 929.9857788085938, 'width': 49.74432373046875, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(26) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//lt.wikipedia.org/', 'lang': 'lt'}",,False,"{'x': 569.1903076171875, 'y': 739.53125, 'width': 47.9971923828125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(27) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//hu.wikipedia.org/', 'lang': 'hu'}",,False,"{'x': 569.1903076171875, 'y': 763.3380126953125, 'width': 46.70452880859375, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(28) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//mk.wikipedia.org/', 'lang': 'mk', 'title': 'Makedonski'}",,False,"{'x': 569.1903076171875, 'y': 787.1448364257812, 'width': 79.4886474609375, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(29) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//ms.wikipedia.org/', 'lang': 'ms', 'title': 'Bahasa Melayu'}",,False,"{'x': 569.1903076171875, 'y': 810.95166015625, 'width': 92.20172119140625, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(30) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//min.wikipedia.org/', 'lang': 'min'}",,False,"{'x': 569.1903076171875, 'y': 834.7584838867188, 'width': 84.54547119140625, 'height': 42.897705078125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(31) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//my.wikipedia.org/', 'lang': 'my', 'title': 'Myanmarsar'}",,False,"{'x': 569.1903076171875, 'y': 882.3721313476562, 'width': 76.008544921875, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(32) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//no.wikipedia.org/', 'lang': 'nb'}",,False,"{'x': 613.7073364257812, 'y': 906.178955078125, 'width': 45.9659423828125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(33) > ul > li > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//nn.wikipedia.org/', 'lang': 'nn'}",,False,"{'x': 569.1903076171875, 'y': 929.9857788085938, 'width': 48.59375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(33) > ul > li:nth-of-type(2) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//ce.wikipedia.org/', 'lang': 'ce', 'title': 'Noxçiyn'}",,False,"{'x': 708.053955078125, 'y': 739.53125, 'width': 56.8323974609375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(34) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//uz.wikipedia.org/', 'lang': 'uz'}",,False,"{'x': 708.053955078125, 'y': 763.3380126953125, 'width': 73.30963134765625, 'height': 42.89776611328125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(35) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//kk.wikipedia.org/', 'lang': 'kk'}",,False,"{'x': 708.053955078125, 'y': 810.95166015625, 'width': 120.383544921875, 'height': 42.89776611328125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(36) > a,,,,,False,False,0,3,li
https://www.wikipedia.org/,interactive,a,"{'href': '//ro.wikipedia.org/', 'lang': 'ro'}",,False,"{'x': 708.053955078125, 'y': 858.5653076171875, 'width': 50.397705078125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(37) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//sq.wikipedia.org/', 'lang': 'sq'}",,False,"{'x': 708.053955078125, 'y': 882.3721313476562, 'width': 35.227294921875, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(38) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//simple.wikipedia.org/', 'lang': 'en'}",,False,"{'x': 708.053955078125, 'y': 906.178955078125, 'width': 89.55963134765625, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(39) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//sk.wikipedia.org/', 'lang': 'sk'}",,False,"{'x': 708.053955078125, 'y': 929.9857788085938, 'width': 65.8948974609375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(40) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//sl.wikipedia.org/', 'lang': 'sl', 'title': 'Slovenščina'}",,False,"{'x': 846.9176025390625, 'y': 739.53125, 'width': 71.83233642578125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(41) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//sr.wikipedia.org/', 'lang': 'sr'}",,False,"{'x': 846.9176025390625, 'y': 763.3380126953125, 'width': 96.491455078125, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(42) > a,,,,,False,False,0,0,li
